"","caseid","weight","inputzip","county_fips","NCHS_Code_2013","USR_Classification","HRSA_Classification","Census_Classification","CountyName_Census","MO_Region","votereg","treat_group","QA","QB","consent","POLS001","POLS002","POLS007","POLS003","POLS004","POLS005","POLS006","POLS008","POLS009","POLS010","POLS010_t","POLS011","POLS012","POLS013","POLS014","POLS015","POLS016","POLS017","POLS018","POLS019","POLS020","POLS021","POLS022","POLS023","POLS024","POLS025","POLS026","POLS027","POLS028","POLS029","POLS030","POLS031","POLS032","POLS033","POLS034","POLS035","POLS036","EDU001","EDU002","EDU002_t","EDU003rule","EDU004rule","EDU005rule","EDU006rule","EDU007rule","EDU008rule","EDU009rule","EDU010rule","EDU011rule","EDU012","EDU013","EDU014","EDU015","EDU016","EDU017","EDU018","birthyr","agegroup","gender","race","educ","marstat","employ","faminc_new","incgroup","pid3","pid7","presvote16post","presvote20post","inputstate","ideo5","newsint","religpew","pew_churatd","pew_bornagain","pew_religimp","pew_prayer","ownhome","starttime","endtime"
"1",1909660223,0.675847270158054,63136,29189,2,3,3,1,"St. Louis MO",6,1,1,1,1,1,4,3,2,3,1,4,1,1,1,1,"__NA__",4,4,3,3,4,NA,2,2,2,3,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,2,2,NA,2,4,"__NA__",36,41,39,74362,67771,82440,58205,59268,84778,3,1,NA,2,2,2,2,1966,2,2,1,2,1,5,97,NA,3,5,2,2,29,4,1,1,1,1,1,1,1,2022-08-08 13:22:09,2022-08-08 13:30:55
"2",1910356811,0.625282616705684,64145,29095,1,4,2,1,"Jackson MO",5,1,1,2,1,1,3,3,1,2,2,2,2,1,1,1,"__NA__",4,2,4,4,4,NA,4,3,3,3,NA,NA,NA,NA,NA,1,2,2,3,3,1,3,3,2,1,NA,2,1,"__NA__",20,25,23,37372,45663,41411,35884,31632,42899,1,1,NA,1,2,1,3,1953,1,1,1,5,1,5,5,1,2,7,2,2,29,5,1,2,2,2,1,2,1,2022-08-08 13:25:42,2022-08-08 13:33:36
"3",1910437187,0.592411877765976,63640,29187,5,1,1,1,"St. Francois MO",4,1,2,1,1,1,4,NA,NA,NA,2,3,1,1,1,1,"__NA__",4,4,3,3,NA,2,2,NA,NA,NA,2,2,2,1,2,NA,2,2,1,1,1,2,2,2,NA,1,2,2,"__NA__",30,40,40,75212,86479,86692,63095,73936,73086,2,1,1,2,2,2,1,1962,2,1,5,3,1,1,5,1,3,5,2,2,29,4,1,1,5,1,1,1,1,2022-08-08 13:26:51,2022-08-08 13:33:53
"4",1910463685,0.869192867098961,63303,29183,2,3,3,1,"St. Charles MO",6,1,1,1,1,1,2,3,4,3,3,3,4,2,2,3,"__NA__",2,2,2,3,2,NA,3,1,2,3,NA,NA,NA,NA,NA,4,1,1,1,1,1,1,1,3,2,NA,2,2,"__NA__",20,25,35,58405,45584,61788,44872,40242,50214,1,1,NA,1,1,3,1,1955,1,2,1,3,6,2,10,3,1,1,1,1,29,2,1,9,6,2,4,7,1,2022-08-08 13:22:50,2022-08-08 13:34:53
"5",1910363699,0.472123589160896,65604,29077,3,2,2,1,"Greene MO",3,1,2,2,1,1,4,NA,NA,NA,2,4,2,1,1,1,"__NA__",3,2,2,3,NA,2,2,NA,NA,NA,2,1,2,1,2,NA,1,1,1,1,1,2,1,2,NA,1,2,1,"__NA__",51,51,69,47619,50070,49370,36415,38165,37815,3,2,1,3,2,2,1,1952,1,2,1,2,1,5,11,3,2,7,2,2,29,5,1,11,6,2,3,6,1,2022-08-08 13:25:11,2022-08-08 13:35:09
"6",1910463863,0.674036215808802,63123,29189,2,3,3,1,"St. Louis MO",6,1,2,1,1,1,2,NA,NA,NA,3,3,4,2,2,2,"__NA__",4,4,4,4,NA,3,4,NA,NA,NA,2,2,1,1,1,NA,1,1,1,1,1,3,1,1,NA,2,2,1,"__NA__",56,32,50,61714,58845,76023,46736,29971,52811,1,2,2,1,1,2,3,1993,4,2,1,5,6,1,7,2,1,1,1,1,29,1,2,10,5,2,3,7,2,2022-08-08 13:20:12,2022-08-08 13:37:10
"7",1910356641,0.996464859129831,65203,29019,4,2,2,1,"Boone MO",1,1,2,2,1,1,2,NA,NA,NA,4,4,4,2,2,2,"__NA__",3,4,2,4,NA,2,4,NA,NA,NA,3,2,1,1,1,NA,1,1,1,1,1,1,1,1,NA,2,2,1,"__NA__",46,25,35,62563,43005,65964,42155,30250,50871,1,3,3,1,1,1,2,1952,1,2,1,6,1,5,12,3,1,1,1,1,29,2,1,11,6,2,4,6,1,2022-08-08 13:23:27,2022-08-08 13:44:19
"8",1908114781,0.988171727339309,63304,29183,2,3,3,1,"St. Charles MO",6,1,2,1,1,1,4,NA,NA,NA,2,2,1,1,1,1,"__NA__",4,3,3,3,NA,3,3,NA,NA,NA,2,1,2,1,2,NA,1,2,1,1,1,1,1,2,NA,1,2,2,"__NA__",50,40,40,49915,44175,50128,36947,37585,36310,3,3,3,2,2,2,2,1961,2,2,1,5,1,1,13,3,2,7,2,2,29,4,1,1,5,2,1,1,1,2022-08-08 13:39:17,2022-08-08 13:49:28
"9",1910295709,0.564852476102506,63128,29189,2,3,3,1,"St. Louis MO",6,1,2,1,1,1,4,NA,NA,NA,2,2,1,1,1,1,"__NA__",3,3,3,3,NA,1,3,NA,NA,NA,2,1,2,2,2,NA,2,2,2,2,2,2,2,2,NA,1,2,2,"__NA__",40,31,31,87967,62032,88180,72448,52890,53528,2,1,1,2,2,1,2,1943,1,1,1,6,4,5,5,1,2,7,2,2,29,5,1,1,1,1,1,2,1,2022-08-08 13:44:09,2022-08-08 13:51:02
"10",1910296937,1.38880841001545,63304,29183,2,3,3,1,"St. Charles MO",6,1,1,1,1,1,4,4,2,2,2,4,1,1,1,5,"Election integrity",4,3,3,3,2,NA,1,1,1,2,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,1,NA,1,2,"__NA__",43,30,26,53107,48093,49799,37298,34610,34741,1,1,NA,2,2,2,2,1980,3,1,1,5,1,1,13,3,2,7,2,2,29,5,1,2,2,2,1,1,1,2022-08-08 13:35:21,2022-08-08 13:52:43
"11",1910438333,0.472123589160896,63764,29017,4,2,2,2,"Bollinger MO",4,1,2,1,1,1,4,NA,NA,NA,3,2,1,1,1,2,"__NA__",4,4,3,3,NA,1,4,NA,NA,NA,2,2,1,1,2,NA,2,2,1,1,1,1,1,2,NA,1,2,5,"__NA__",37,55,25,77815,53808,55050,56705,78642,43460,1,2,1,1,2,1,2,1956,1,2,1,2,4,5,3,1,2,7,2,2,29,5,1,1,2,1,1,2,2,2022-08-08 13:48:45,2022-08-08 13:58:02
"12",1910386937,7.07576457036084,65791,29149,6,1,1,2,"Oregon MO",4,1,1,1,1,1,4,4,2,2,2,4,2,1,1,5,"personal freedom",4,3,4,5,3,NA,5,2,2,3,NA,NA,NA,NA,NA,2,2,2,3,1,1,3,1,2,2,NA,2,2,"__NA__",27,35,40,39959,60969,75276,26956,35672,52041,2,1,NA,2,2,1,2,1949,1,2,1,2,1,5,97,NA,4,4,2,3,29,3,1,11,6,2,4,6,1,2022-08-08 13:31:18,2022-08-08 14:03:47
